"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018:Q1","2018:Q2","2018:Q3","2018:Q4"
"09000","Connecticut","60","      Professional, scientific, and technical services",18845.7,19070.3,19267.9,19323.0
"09000","Connecticut","64","      Management of companies and enterprises",7049.7,6579.9,7003.2,6716.3
"09000","Connecticut","65","      Administrative and support and waste management and remediation services",7608.6,7688.3,7930.9,7799.8
"09000","Connecticut","69","      Educational services",6152.4,6421.7,6459.3,6684.5
"09000","Connecticut","70","      Health care and social assistance",21889.7,22211.9,22156.2,22417.4
"09000","Connecticut","76","      Arts, entertainment, and recreation",2453.9,2561.7,2552.6,2649.8
"09000","Connecticut","79","      Accommodation and food services",6689.8,6808.7,6883.5,6947.2
"09000","Connecticut","82","      Other services (except government and government enterprises)",5217.8,5326.9,5393.3,5470.1
"09000","Connecticut","83","  Government and government enterprises",27550.9,27626.2,28377.1,27777.2
"10000","Delaware","1","All industry total",72091.2,73024.7,74461.4,74348.1
"10000","Delaware","2","  Private industries",65078.9,66029.4,67186.1,67013.3
"10000","Delaware","3","      Agriculture, forestry, fishing and hunting","(D)","(D)","(D)","(D)"
"10000","Delaware","6","      Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)"
"10000","Delaware","10","      Utilities",1106.8,1085.4,1039.3,1083.0
"10000","Delaware","11","      Construction",2693.1,2766.8,2811.4,2858.9
"10000","Delaware","12","      Manufacturing",4657.9,4786.9,4858.2,4906.1
"10000","Delaware","13","          Durable goods manufacturing",1387.6,1436.6,1428.9,1480.5
"10000","Delaware","25","          Nondurable goods manufacturing",3270.3,3350.3,3429.3,3425.5
"10000","Delaware","34","      Wholesale trade",1945.4,1990.4,2040.2,2041.0
"10000","Delaware","35","      Retail trade",2739.8,2784.2,2776.9,2798.7
"10000","Delaware","36","      Transportation and warehousing",1102.6,1166.9,1145.1,1188.2
"10000","Delaware","45","      Information",1055.6,1055.5,1039.4,1068.5
"10000","Delaware","51","      Finance and insurance",21531.5,21738.6,22491.2,21962.7
"10000","Delaware","56","      Real estate and rental and leasing",10369.4,10542.0,10627.4,10738.5
"10000","Delaware","60","      Professional, scientific, and technical services",4800.2,4927.5,4824.2,4901.3
